# dari http://www.geocities.com/CapeCanaveral/1999/, last mod 1995-11-29
# "You can download English-Indonesian dictionary (323k) that I made. Use WINZIP.EXE to unpack the file. I use dbf file (dBase III+). It has over that 17,000 words. This dictionary is designed to help us (Indonesian) reading English literatures, so I omit simple words that everybody usually knows. You may modify it to meet your needs. It's for free. It's for end user only, not commercial. You can distribute this file to everybody who needs it."
"ENGLISH,C,20"	"INDONESIA,C,50"
"endorse"	"menuliskan nama/komentar,menyetujui,menyokong"
"endorsement"	"pengesahan,membubuhi tanda tangan,pembenaran"
"endow"	"menghadiahkan,memberikan,bakat,pembawaan"
"endure"	"menjlni,menderita,menanggung,tahan (lama),bersabar"
"endurance"	"daya tahan,kesabaran,ketahanan"
"engage"	"memesan,menyewa,mempekerjakan,mengupah,berjanji,-"
"engage"	"melaksanakan,menunaikan,sibuk,mulai berperang"
"engaged"	"bertunangan"
"engangement"	"pertunangan,pertempuran"
"engaging"	"menarik,menawan,menyenangkan"
"engross"	"mengerahkan perhatian,asyik pd,sibuk dgn"
"engross"	"membuat dokumen resmi dgn tulisan besar"
"enlighten"	"menerangkan (kesalahpahaman)"
"ennoble"	"meninggikan derajat,mengangkat mjd bangsawan,-"
"ennoble"	"memuliakan"
"enrich"	"memperkaya,menyuburkan"
"ensign"	"bendera kapal"
"ensue"	"tjd kemudian,berlaku sudah,berakibat"
"entangle"	"mengusutkan,menyangkut,melibatkan,menjerat"
"enterprise"	"usaha,keberanian,kegigihan"
"enterprising"	"berani utk mendirikan usaha baru"
"entertain"	"menjamu,menyuguh,menghibur,menyimpan,mempunyai"
"enthusiasm"	"antusias"
"entreat"	"meminta dgn sungguh2,memohon"
"entreaty"	"permohonan"
"entrust"	"mempercayakan,menugaskan"
"entrench"	"mengelilingi dgn parit,UU mjd kukuh"
"entrenchment"	"parit (pertahanan)"
"entwine"	"membelitkan,melilitkan"
"enumerate"	"membilang satu2"
"enunciate"	"mengatakan,mengemukakan dgn jelas & tegas,lafal"
"envelop"	"menyelubungi,membungkus,menyampul"
"envelope"	"amplop"
"enviable"	"menimbulkan irii hati"
"envious"	"mengiri"
"environment"	"keadaan keliling,lingkungan,pengaruh luar,suasana"
"envisage"	"memandang,menghadapi,membayangkan"
"envoy"	"duta,utusan negara"
"envy"	"iri thd,sesuatu yg diirikan"
"epaulette"	"hiasan bahu pd seragam perwira"
"ephemeral"	"tdk kekal,lekas berlalu"
"epic"	"sajak kepahlawanan"
"epicure"	"org yg gemar makan yg lezat2"
"epidemic"	"berjangkit scr meluas,wabah"
"epigram"	"peribahasa pendek menarik & jenaka"
"epigramatic"	"berkenaan dgn peribahasa pendek menarik & jenaka"
"epilogue"	"bagian terakhir dr suatu karya sastra"
"episcopal"	"berkenaan dgn uskup"
"episcopalian"	"(berkenaan dgn) anggota gereja Episkopal"
"epistle"	"surat"
"Epistles"	"surat tulisan rasul"
"epistolary"	"berkenaan dgn tulisan (para rasul)"
"epitaph"	"tulisan pd batu nisan"
"epithet"	"julukan,gelar,nama,kehormatan"
"epitome"	"intisari buku/pidato"
"epoch"	"zaman,kala,waktu"
"equable"	"tenang,tetap,tdk berubah2"
"equanimity"	"ketenangan jiwa,kesabaran"
"equate"	"menyamakan,memperlakukan sama"
"equidistant"	"sama jauh"
"equilateral"	"berisi sama"
"equilibrium"	"keseimbangan"
"equine"	"spt/berkenaan dgn kuda"
"equestrian"	"penunggang kuda"
"equinox"	"wkt matahari lewat katulistiwa (lama siang=malam)"
"equinoctial"	"berkenaan dgn panjang siang=malam"
"equip"	"memperlengkapi"
"equity"	"keadilan"
"equitable"	"adil,bijaksana"
"equivalent"	"sama"
"equivocal"	"mempunyai 2 arti,meragukan"
"ere"	"sebelum"
"eradicate"	"menghapuskan,menusnahkan,membasmi,menghancurkan"
"erasure"	"penghapusan"
"erect"	"tegak,mendirikan,membina,membangun"
"ermine"	"(baju yg terbuat dr kulit) cerpelai (putih)"
"erode"	"mengikis,mengauskan,menjadikan berkarat"
"erotic"	"berkenaan dgn nafsu birahi"
"err"	"kesalahan"
"errand"	"pergi sebentar utk sesuatu"
"errand boy"	"kacung"
"erratic"	"berubah2 pikiran,tdk teratur jlnnya"
"erratum"	"ralat,salah tulis/cetak"
"erroneous"	"salah,keliru"
"erudite"	"sangat terpelajar,berpendidikan tinggi"
"erupt"	"meletus (perang,wabah)"
"escalate"	"meningkat sedikit2,berkobar,meluas"
"escapade"	"perbuatan berani/nakal/mendebarkan,petualangan"
"escapement"	"alat pengatur gerakan jam"
"eschew"	"menghindar,menjauhkan diri"
"estuary"	"kuala,muara"
"estimate"	"menaksir,mengira2"
"escort"	"pengawal,pengiring"
"escutcheon"	"perisai dgn gambar di atasnya"
"escutcheon"	"blot on one's ~:noda pd nama baik seseorg"
"espionage"	"pengintaian,penyuluhan,mata2"
"espouse"	"pendukung,menyokong,mengawini"
"esprit de corps"	"setia kawan,saling menghormati"
"espy"	"nampat (dr jauh)"
"esquire"	"gelar yg ditulis pd alamat surat (Mr ...)"
"essay"	"mencoba,berusaha,karangan pendek membahas sesuatu"
"essence"	"intisari"
"esteem"	"menghargai,menghormati,menganggap"
"estimable"	"patut dihargai/dihormati"
"estrange"	"merenggangkan,menjauhkan (hubungan)"
"essential"	"hrs ada,berkenaan dgn intisari"
"essentially"	"pd pokoknya/dsrnya"
"establish"	"mendirikan,menegakkan,memegang kedudukan,mengang-"
"establish"	"kat,menempatkan,menyebabkan org menganut,menjadi-"
"establish"	"kan milik gereja"
"establishment"	"bangunan,yayasan,lembaga"
"estate"	"tanah/harta milik,keadaan,masa (state)"
"estate agent"	"agen pengurus tanah"
"etch"	"mengukir pd lempeng logam dgn air keras"
"etching"	"ukiran pd lempenglogam dgn air keras"
"etcher"	"pengukir pd lempeng logam dgn air keras"
"eternal"	"kekal,abadi,baka"
"eternity"	"kekekalan,akhirat,alam baka"
"etymology"	"ilmu asal-usul kata"
"etiquette"	"basa-basi,aturan sopan-santun"
"ethnography"	"keterangan/gambaran ttg bangsa2"
"ethnology"	"ilmu ttg bangsa2"
"ethnics"	"ilmu etika/akhlak/tingkah laku/kesusilaan"
"ethical"	"berkenaan dgn kesusilaan,etis"
"ether"	"obat pembius,zat eter (dugaan)"
"ethereal"	"sangat lembut/halus"
"eager"	"sangat ingin,berhasrat bsr"
"ear-drum"	"gendang telinga"
"earmark"	"menguntukkan,menyediakan"
"earshot"	"dpt didengar"
"ear"	"bulir"
"earl"	"gelar bangsawan Inggris"
"earldom"	"pangkat,daerah di bawah kekuasaan Earl"
"earnings"	"pendapatan,gaji"
"earwig"	"serangga kecil"
"easel"	"kuda2,sandaran papan tulis"
"eddy"	"gerakan perpusar,olakan air/angin"
"ecclesiastic"	"pendeta gereja Kristen"
"egotism"	"kebiasaan membicarakan ttg diri sendiri"
"eject"	"mengeluarkan,menyemburkan"
"eke out"	"mencari nafkah secukupnya"
"ejaculate"	"berkata tiba2,berseru"
"ejaculation"	"seruan"
"efface"	"menghapuskan,menghilangkan"
"effete"	"letih,kehabisan tenaga"
"effrontery"	"sikap kurang ajar & tdk tahu malu,kelancangan"
"dryad"	"peri pohon/rimba"
"dub"	"memberi nama panggilan,mengangkat seseorg mjd -"
"dub"	"ksatria dgn menyentuhkan pedang pd bahunya"
"dubious"	"meragukan,menyangsikan,kurang dpt dipercaya"
"ducal"	"berkenaan dgn bangsawan"
"duchess"	"istri/janda bangsawan"
"duchy"	"tanah milik bangsawan"
"duck"	"itik,mengelak,menunduk,menyelam(kan)"
"duck"	"make a ~:membuat nilai 0 pd permainan kriket"
"ducking"	"hal membasahkan seluruhnya"
"duct"	"pembuluh,saluran,pipa"
"dud"	"tdk berguna"
"dudgeon"	"marah"
"dun"	"coklat keabu2an"
"dunce"	"org lamban/dungu"
"dune"	"bukit pasir"
"dung"	"tahi hewan,pupuk"
"dungarees"	"pakaian kerja (montir)"
"dungeon"	"ruang/penjara gelap bawah tanah"
"dupe"	"menipu,membohongi"
"duly"	"dgn cara yg sesuai,sewajarnya,sepatutnya,pd wktnya"
"duplicity"	"kebohongan,tipu daya"
"durable"	"tahan lama,awet"
"duress"	"paksaan"
"dusk"	"senja"
"duffel coat"	"pakaian hangat semacam jas"
"duffer"	"org bodoh/canggung"
"dug-out"	"lubang perlindungan,perahu kecil dr batang pohon"
"duke"	"bangsawan tinggi"
"dukedom"	"tugas,daerah,pangkat seorg duke"
"duellist"	"org yg berperang tanding"
"drove"	"jml bsr  hewan yg digiring"
"drought"	"kemarau berkepanjangan"
"dross"	"buih/kotoran logam yg dilebur"
"drivel"	"omong kosong,omong2 tanpa isi"
"drizzle"	"hujan gerimis"
"droll"	"lucu"
"dromedary"	"unta berpunuk 1"
"dregs"	"endapan,ampas,masy gol paling rendah/tdk berguna"
"dredge"	"menaburi (gula,tepung)"
"dray"	"gerobak rendah beroda 4 utk angkut barang berat"
"drachm"	"=dram"
"dozen"	"lusin"
"drab"	"coklat luumpur,menjemukan,membosankan,tdk menarik"
"doze"	"tidur sebentar,1/2 tidur"
"doz."	"=lusin"
"doxology"	"kata2 pujian pd Tuhan"
"dowry"	"mas kawin (dr pengantin perempuan)"
"doughty"	"gagah berani,kuat,perkasa"
"dour"	"tdk mengenal belas kasihan,keras"
"dough"	"adonan roti (tepung & air)"
"dormitory"	"asrama"
"dormouse"	"tikus kecil yg tidur selama musiim dingin"
"dorsal"	"bag/dekat/sirip belakang"
"dose"	"dosis,takaran (obat)"
"dossier"	"berkas surat berisi ket ttg seseorg/suatu kejadian"
"dotage"	"pikun krn tua"
"dote on"	"memanjakan,memuja2,sangat menyayangi"
"doublet"	"baju laki2 kuno yg bag atas ketat (1400-1600)"
"dowager"	"janda bangsawan"
"dowdy"	"berpakaian lusuh & kuno"
"down"	"sebidang tanah tinggi yg terbuka & kosong"
"down"	"bulu halus anak unggas"
"downy"	"berbulu halus,lembut spt bulu"
"drake"	"itik jantan"
"dram"	"timbangan berat (Inggris),timbangan obat2an"
"dragonfly"	"capung"
"draggled"	"basah,berlumpur,kotor"
"dragoman"	"petunjuk jln dr juru bhs (di Arab)"
"donkey"	"keledai,bagal"
"donkey-engine"	"mesin uap kecil di geladak kapal"
"doll"	"boneka"
"doleful"	"sedih,susah,muram"
"dole out"	"membagikan (utk org miskin),catu"
"doldrums"	"mrung,putus asa"
"doe"	"kijang,kelinci betina"
"dog"	"mengikuti,membuntuti"
"dogtired"	"letih,capai"
"dogged"	"keras kepala,tegar hati"
"doggerel"	"sajak kurang baik & tdk teratur"
"dolorous"	"sedih,duka cita"
"dolphin"	"lumba2"
"dolt"	"org dungu/goblok"
"domain"	"daerah,kerajaan,wilayah,bidang"
"dome"	"kubah,atap melengkung"
"domicile"	"tempat tinggal"
"dominoes"	"domino"
"don"	"dosen universitas,bangsawan/gelar Spanyol"
"divorce"	"menceraikan,memisahkan"
"divulge"	"membuka/membocorkan rahasia,mengumumkan"
"dizzy"	"pusing,pening"
"distraught"	"terganggu (pikirannya),sangat kusut,bingung"
"dive"	"terjun,menyelam(kan tangan)"
"divan"	"dipan"
"ditty"	"lagu pendek & sederhana"
"ditch"	"parit,saluran air"
"ditto"	"idem"
"disuse"	"kead tdk terpakai lagi"
"disport"	"bersenang2,bermain2"
"dissolute"	"tdk senonoh,keji,cabul"
"dissociate"	"memisahkan,tdk berhubungan"
"disrobe"	"menanggalkan pakaian kebesaran/resmi"
"disservice"	"tindakan merugikan"
"dissertation"	"penguraian dgn panjang lebar & ilmiah"
"disseminate"	"membagi2kan,menyebarluaskan (pikiran,doktrin)"
"dissolution"	"pembubaran,pemuutusan,perceraian,peleburan"
"dissimulate"	"menyamar,sembunyi,=dissemble"
"distend"	"menggembung(kan)"
"distil"	"menyuling"
"distilation"	"penyulingan"
"distilery"	"tempat penyulingan minuman keras"
"discompose"	"mengganggu ketenangan,menggelisahkan"
"discomposure"	"gangguan ketenangan,kegelisahan"
"disconcert"	"menggagalkan rencana,menggelisahkan"
"disconsolate"	"sedih,putus asa,tanpa kesenangan"
"discontent"	"kegelisahan,perasaan kurang/tdk puas"
"discord"	"pertentangan,perselisihan,tdk sesuai/selaras,-"
"discord"	"janggal"
"dispassionate"	"tdk memihak"
"dispel"	"mengusir,menghalau,menyerakkan,menyebarkan"
"disown"	"mengingkari,menyangkal,tdk mengakui"
"dispirited"	"putus asa,hilang semangat,tawar hati"
"dismal"	"muram,sedih"
"dislodge"	"mengusir,menghalau"
"dishevelled"	"lusuh,kumal,tdk rapi"
"disgruntled"	"bersungut2,tdk puas"
"disembodied"	"(nyawa) terpish dr badan"
"disgorge"	"memuntahkan,tdk rela mengembalikan/menyerahkan"
"dirk"	"semacam golok"
"dirge"	"nyanyian utk org meninggal"
"disability"	"cacat,kelumpuhan"
"diphtheria"	"penyakit kerongkongan"
"diphthong"	"ai,au,oi"
"dipper"	"gayung,pencedok,timba"
"dire"	"menakutkan,buruk sekali,mengerikan"
"dinghy"	"perahu kecil"
"dingy"	"kelihatan kotor/lusuh"
"dine"	"makan malam"
"diner"	"kereta makan di KA"
"dimple"	"lesung pipi"
"dime"	"uang logam 10 sen (USA)"
"dilly-dally"	"membuang2 wkt,berlengah2"
"diligent"	"rajin,tekun"
"dilatory"	"lambat,lamban"
"dilettante"	"penggemar seni,belajar seni tdk sungguh2"
"diminish"	"mengurangi,mengecilkan,menyusutkan"
"diminution"	"pengecilan,penyusutan,pengurangan"
"diocese"	"keuskupan"
"diocesan"	"berkenaan dgn keuskupan"
"disavow"	"mengingkari,menyangkal"
"disavowal"	"pengingkaran,penyangkalan"
"disband"	"membubarkan (barisan tentara)"
"disburse"	"membayar"
"discard"	"membuang,mencampakkan,mengesampingkan,menyingkirka"
"disciple"	"penganut,pengikut,rasul,12 rasul Yesus"
"disclaim"	"menyangkal,tdk mengakui,ingkar"
"disastrous"	"menimbulkan malapetaka"
"disarm"	"melucuti senjata,mengecilkan angkatan bersenjata"
"disarm"	"menghilangkan perasaan marah,curiga/ragu2"
"disarmament"	"perlucutan senjata"
"discolour"	"melunturkan"
"discomfort"	"kurang nyaman/tenang,kegelisahan"
"discomfit"	"menggagalkan rencana,memalukan,membingungkan"
"discomfiture"	"penggagalan,perasaan malu,kebingungan"
"diffract"	"menguuraikan sinar"
"diet"	"konperensi,muktamar,musyawarah"
"difficent"	"kurang percaya pd diri sendiri"
"digit"	"bil caah,jari tangan/kaki"
"dignify"	"memuliakan,mengagungkan"
"dignitary"	"org berpangkat,pembesar (gereja)"
"dike"	"parit,bendungan,empang,pematang,tambak"
"dyke"	"parit,bendungan,empang,pematang,tambak"
"diction"	"pilihan/penggunaan kata2,gaya bicara/menulis"
"die"	"cetakan uang/medali/dll dr logam"
"devoid"	"kosong,hampa"
"devise"	"merencanakan,merancang,mendptkan"
"devious"	"berkelok2,berbelit2,tdk terang2an"
"dethrone"	"menurunkan dr tahta"
"deterrent"	"lihat deter"
"dew"	"embun"
"dhow"	"kapal bertiang layar tunggal (Arab)"
"diabolical"	"sangat jahat,spt iblis"
"diabolic"	"sangat jahat,spt iblis"
"deviate"	"menyimpang"
"detest"	"membenci"
"detestable"	"menjijikkan,menimbulkan kebencian"
"demon"	"iblis,setan,roh jahat"
"deploy"	"berbaris,menyebarkan,memanfaatkan"
"deplete"	"menghabiskan,mengosongkan"
"deplore"	"menyesali"
"deplorable"	"patut disesali,menyedihkan"
"depredation"	"perusakan/perampokan harta benda"
"dent"	"lekuk"
"dentistry"	"pekerjaan dokter gigi,kedokteran gigi"
"denture"	"gigi palsu"
"dental"	"berkenaan dgn gigi"
"deer"	"rusa,kijang,menjangan"
"deem"	"menganggap,mempunyai anggapan"
"defrost"	"mencairkan es"
"deign"	"sudi,berkenan utk"
"deify"	"memperdewa,memperTuhankan"
"deice"	"membuang es"
"delectable"	"lezat"
"defray"	"menyediakan uang yg diperlukan,membiayai"
"deduct"	"mengurangi,memotong"
"decipher"	"membaca dgn susah payah,menafsirkan,memecahkan"
"declivity"	"landaian,lereng"
"declutch"	"melepas kopling"
"decalogue"	"10 firman Tuhan pd Musa"
"decapitate"	"memancung,memenggal kepala"
"decarbonize"	"mengeluarkan zat arang"
"visualize"	"menggambarkan,membayangkan"
"visit"	"hukuman Tuhan"
"visitation"	"hukuman Tuhan"
"vision"	"penglihatan,impian,bayangan,khayal"
"visionary"	"dlm angan2 saja"
"visible"	"dpt dilihat,nyata"
"virulent"	"kuat,mematikan,sengit,pahit,mendlm,beracun"
"virulence"	"hal beracun,keracunan"
"virtue"	"kebaikan,sifat baik"
"virtue"	"by/in ~ of:disebabkan oleh,krn"
"virtuous"	"bersifat/berbudi baik,saleh,suci"
"virtual"	"sebenarnya,sesungguhnya"
"virtually"	"pd hakekatnya"
"virile"	"bersifat jantan,kuat,bertenaga"
"virility"	"kejantanan,kekuatan"
"virginity"	"keperawanan"
"vindictive"	"menaruh dendam,dengki kpd"
"violent"	"keras,ganas,kejam,sengat,bergelora,hebat,parah"
"violence"	"kekerasan,kekejamaan,keganasan,kerusuhan"
"view"	"pemandangan,penglihatan,kehendak,pandangan,tujuan"
"view"	"rencana,maksud,kemauan"
"vie"	"bersaing,bertanding"
"victual"	"persediaan makanan"
"victualler"	"penjual makanan & minuman"
"victim"	"korban,mangsa"
"victimize"	"mengorbankan,menjadikan korban"
"vice"	"wakil,perbuatan jahat/tdk senonoh,kebiasaan buruk"
"viceroy"	"org yg memerintah koloni/wkl raja"
"viceregal"	"berkenaan dgn org yg mewakili raja"
"vibrant"	"bergetar,gemetar"
"versalite"	"berminat/mahir dlm berbagai bidang"
"verse"	"sajak,syair,pantun,baris sajak,bait,ayat"
"versed in"	"pandai/berpengalaman dlm"
"version"	"terjemahan,pandangan,tinjauan,cara mengatakan/men-"
"version"	"ceritakan"
"vertigo"	"pusing 7 keliling"
"verve"	"gairah pemusik/pelukis"
"vespers"	"kebaktian malam di gereja"
"vessel"	"tempat benda cair,kapal"
"vest"	"kutang,rompi,anak jas"
"vertibule"	"ruang depan/masuk gedung"
"vestige"	"jejak,bekas,tanda"
"vestment"	"jubah pendeta di gereja,pakaian upacara"
"vestry"	"kamar utk menyimpan jubah pendeta,penduduk di ba-"
"vestry"	"wah gereja"
"vet"	"dokter hewan,memeriksa & membetulkan"
"veteran"	"berpengalaman lama & banyak"
"veterinary"	"berkenaan dgn penyakit hewan"
"vex"	"mengganggu,menyusahkan,mengesalkan,menyakitkan ha-"
"vex"	"ti"
"vexation"	"ganguan,kejengkelan,kekesalan"
"vexatious"	"mengesalkan,menjengkelkan,menyusahkan"
"veld"	"padang rumput berkarang di Afrika Selatan"
"venal"	"mau berbuat jahat demi uang,dipengaruhi uang"
"vend"	"menjual"
"vendor"	"penjual,penjaja"
"vendetta"	"pertengkaran 2 keluarga sampai saling bunuh"
"veneer"	"kesopanan,keramahan,menutupi sifat sebenarnya"
"veneer"	"melapisi dgn kayu halus"
"venerable"	"patut disegani krn usia/kedudukan"
"venerate"	"menghormati/segan kpd"
"veneration"	"rasa hormat yg mendlm"
"vengeance"	"pembalasan dendam"
"vengeance"	"with a ~:banyak sekali"
"vengeful"	"mendendam,berdendam"
"venial"	"dpt diampuni/dimaafkan"
"venison"	"daging rusa"
"venom"	"bisa ular,kebencian,kedengkian"
"venomous"	"berbisa,mematikan,benci,dengki"
"vent"	"lubang angin,pencurahan perasaan,jln keluar"
"ventilate"	"mengedarkan udara,menggemborkan spy dibicarakan-"
"ventilate"	"org"
"ventriloquism"	"berbicara tanpa menggerakkan bibir (perut)"
"ventriloquist"	"org yg mahir berbicara tanpa menggerakkan bibir"
"venture"	"pekerjaan berbahaya/penuh resiko,mengadu untung"
"venturesome"	"berani mengambil resiko"
"valise"	"kopor (kecil) tempat pakaian"
"valley"	"lembah,jurang"
"valour"	"keberanian (dlm perang)"
"valorous"	"gagah berani,perkasa"
"valuation"	"penilaian,penaksiran"
"valve"	"katub,pentil,katub jantung,kelep,lampu radio"
"vane"	"panah (di puncak gedung) utk mengetahui arah angin"
"vane"	"baling2"
"vandal"	"perusak karya seni/alam"
"vandalism"	"sifat suka merusak"
"van"	"truk/gerbong pengangkut barang,grs dpn,pelopor,-"
"van"	"perintis"
"vanguard"	"pasukan pelopor"
"vanquish"	"mengalahkan,menaklukkan"
"vanity"	"keangkuhan,sifat suka berlagak/bersolek,kehampaan,"
"vanity"	"tdk ada nilainya"
"vapid"	"hambar,tdk menarik"
"vapidity"	"kehambaran,ketdkmenarikan"
"vapour"	"uap,asap air"
"vaporize"	"menguap(kan)"
"varnish"	"pernis,pelitur"
"vernal"	"berkenaan dgn musim semi"
"verisimilitude"	"kelihatan seakan2 benar"
"veritable"	"nyata,sesungguhnya,tepat"
"verity"	"kebenaran,pernyataan benar"
"vermillion"	"merah menyala/cerah"
"vermin"	"hewan liar perusak tanaman,kutu (tikus)"
"verminous"	"penuh kutu,disebabkan oleh serangga"
"vernacular"	"(bhs/logat) daerah"
"verger"	"pengantar org2 ke tempat duduk pd gereja Anglikan"
"verify"	"menguji kebenaran,mengesahkan"
"verdigris"	"zat hijau pd tembaga"
"verbatim"	"kata demi kata"
"verbose"	"menggandung/memakai terlalu banyak kata"
"verbosity"	"penggunaan terlalu banyak kata"
"verbal"	"berkenaan dgn kata,lisan,dikatakan,kata demi kata"
"verdict"	"putusan hakim/juri,putusan setelah pemilihan"
"verge"	"pinggir,tepi,condong"
"verge upon"	"hampr,mendekati"
"vassal"	"pemakaian tanah milik org yg diberi bantuan tenta-"
"vassal"	"ra"
"vassalage"	"syarat memiliki tanah dgn dukungan tentara"
"vat"	"tangki,kuali bsr utk menyamak kulit/mencelup/mi-"
"vat"	"numan keras"
"vaudeville"	"pertunjukan tari/nyanyi di pentas"
"veer"	"berubah arah/haluan"
"vault"	"kubah,atap melengkung,kamar bawah tanah utk menyim"
"vault"	"pan anggur/barang berharga,melompati (dgn galah)"
"vehement"	"kuat,sangat ingin,keras,bergelora,berapi2"
"vehemence"	"kekuatan,kehebatan,gelora"
"vehicle"	"alat"
"vehicular"	"berkenaan dgn kendaraan"
"veil"	"cadar,tudung,selubung"
"vein"	"urat (daun),pembuluh darah,retakan karang berisi-"
"vein"	"batubara/bijih besi,kead hati/pikiran,perangai"
"vary"	"membedakan,berbeda"
"variability"	"perubahan,hal berbeda2"
"variance"	"perbedaan,beda,perselisihan"
"variant"	"berlainan,cara lain"
"variation"	"selingan,variasi"
"varied"	"bermacam2,berganti2,berubah2"
"variegated"	"beraneka warna,berselang-seling"
"variety"	"selingan,ragam,berseling2,hal bermacam2,jenis"
"various"	"berlainan,beberapa"
"wane"	"mengecil,menyusut,melemah,berkurang"
"infraction"	"pelanggaran"
"infringe"	"melanggaran"
"infringe upon"	"melanggar hak (org lain)"
"infringement"	"pelanggaran"
"infuriate"	"sangat memarahkan,memanaskan hati"
"infuse"	"memberikan banyak2,memompakan,menyeduh"
"ingenious"	"pandai,terampil,berakal,dibuat dgn keahlian khusus"
"ingenuity"	"kecerdikan,banyak akal"
"ingenuous"	"terus terang,tulus,jujur"
"inglorious"	"memalukan,tdk terhormat,hina,tdk dikenal"
"ingot"	"batang logam,emas lantak"
"ingrained"	"berurat akar"
"ingratiate"	"menjilat"
"ingredient"	"ramuan"
"inhabit"	"menghuni"
"inhabitable"	"dpt dihuni"
"inhabitant"	"penghuni,penduduk"
"inhale"	"menghirup/menghisap udara"
"inherent"	"tdk dpt diceraikan dr,menjadi bagian tetap"
"inherit"	"menerima warisan,mewarisi (sifat)"
"inheritance"	"warisan,peninggalan"
"inhibit"	"melarang,merintangi"
"inhibition"	"keinginan yg tertahan,rintangan,larangan"
"inhuman"	"kejam,biadab"
"inimical"	"bermusuuhan,merugikan"
"iniquitous"	"bengis,lalim,tdk adil"
"iniquity"	"kebengisan,kelaliman,ketdkadilan"
"initial"	"permulaan"
"initially"	"pd mulanya"
"inject"	"menyuntikkan"
"injunction"	"perintah tertulis dr pengadilan"
"injure"	"melukai,merusak,merugikan"
"injury"	"luka,kerusakan,kesalahan"
"injurious"	"melukai,merugikan,menyinggung"
"injustice"	"ketdkadilan"
"ink"	"tinta,mengotori dgn tinta"
"inky"	"bertinta,spt tinta"
"inkling"	"pikiran/perasaan samar2"
"inland"	"pedlman,udik,dlm negeri"
"inlay"	"menatah pd bahan lain (mis emas pd gading)"
"inlet"	"teluk kecil"
"inmate"	"narapidana,pesakitan"
"inmost"	"paling banyak/masuk"
"inn"	"penginapan"
"inns of court"	"gedung ikatan ahli hukum di London"
"innate"	"pembawaan"
"inner"	"batin,dlm"
"innermost"	"paling dlm"
"innings"	"masa kekuasaan utk menunjukkan kecakapan"
"innings"	"set dlm baseball"
"innocent"	"tdk bersalah/berbahaya/merugikan,murni"
"innocuous"	"tdk merugikan/berbahaya"
"innovate"	"memperbaharui,mengadakan perubahan"
"innuendo"	"sindiran"
"innumerable"	"tdk terhitung banyaknya"
"inoculate"	"mencacar"
"inoperable"	"tdk dpt disembuhkan dgn pembedahan"
"inpatient"	"pasien inap"
"inquest"	"pemeriksaan resmi (ttg kematian)"
"inroad"	"serangan mendadak,menghabiskan"
